"","Cycle","Stress","Interferon","Hypoxia","Oxphos","Metal","Mesenchymal","pEMT","Alveolar","Basal","Squamous","Glandular","Ciliated","AC","OPC"
"189","NEK2","RP11-182L21.6",,,,,,,,,,,,,
"190","NMU","RP5-821D11.7",,,,,,,,,,,,,
"191","NRM","RP6-99M1.2",,,,,,,,,,,,,
"192","NUCB2","RRAD",,,,,,,,,,,,,
"193","NUCKS1","SEMA4A",,,,,,,,,,,,,
"194","NUDT1","SERTAD1",,,,,,,,,,,,,
"195","NUF2","SFN",,,,,,,,,,,,,
"196","NUSAP1","SIK1",,,,,,,,,,,,,
"197","OIP5","SLC20A1",,,,,,,,,,,,,
"198","ORC6","SLC38A2",,,,,,,,,,,,,
"199","PAQR4","SNHG12",,,,,,,,,,,,,
"200","PARPBP","SOCS1",,,,,,,,,,,,,
"201","PBK","SOCS3",,,,,,,,,,,,,
"202","PCLAF","SOX4",,,,,,,,,,,,,
"203","PCNA","SOX9",,,,,,,,,,,,,
"204","PHF19","SQSTM1",,,,,,,,,,,,,
"205","PIF1","TACSTD2",,,,,,,,,,,,,
"206","PKMYT1","TAF1D",,,,,,,,,,,,,
"207","PLK1","TCF7",,,,,,,,,,,,,
"208","POC1A","TCIM",,,,,,,,,,,,,
"209","POLD3","TFRC",,,,,,,,,,,,,
"210","PRC1","TGIF1",,,,,,,,,,,,,
"211","PRIM1","TIPARP",,,,,,,,,,,,,
"212","PRKDC","TLE4",,,,,,,,,,,,,
"213","PRR11","TM4SF1",,,,,,,,,,,,,
"214","PSIP1","TNFAIP2",,,,,,,,,,,,,
"215","PSMC3IP","TNFAIP3",,,,,,,,,,,,,
"216","PSRC1","TRIB1",,,,,,,,,,,,,
"217","PTMA","TSC22D1",,,,,,,,,,,,,
"218","PTMS","TSC22D3",,,,,,,,,,,,,
"219","PTN","UBC",,,,,,,,,,,,,
"220","PTTG1","UGDH",,,,,,,,,,,,,
"221","RACGAP1","VPS37B",,,,,,,,,,,,,
"222","RAD21","WEE1",,,,,,,,,,,,,
"223","RAD51","YBX3",,,,,,,,,,,,,
"224","RAD51AP1","YME1L1",,,,,,,,,,,,,
"225","RAD51C","YOD1",,,,,,,,,,,,,
"226","RAN","ZBTB43",,,,,,,,,,,,,
"227","RANBP1","ZC3H12A",,,,,,,,,,,,,
"228","RBL1","ZFAND2A",,,,,,,,,,,,,
"229","RECQL4","ZFP36",,,,,,,,,,,,,
"230","RFC2","ZFP36L1",,,,,,,,,,,,,
"231","RFC3","ZFP36L2",,,,,,,,,,,,,
"232","RFC4","ZNF165",,,,,,,,,,,,,
"233","RFC5","ZNF430",,,,,,,,,,,,,
"234","RMI2",,,,,,,,,,,,,,
"235","RNASEH2A",,,,,,,,,,,,,,
"236","RNASEH2B",,,,,,,,,,,,,,
"237","RNF26",,,,,,,,,,,,,,
"238","RPA2",,,,,,,,,,,,,,
"239","RPA3",,,,,,,,,,,,,,
"240","RRM1",,,,,,,,,,,,,,
"241","RRM2",,,,,,,,,,,,,,
"242","SAPCD2",,,,,,,,,,,,,,
"243","SGOL1",,,,,,,,,,,,,,
"244","SGOL2",,,,,,,,,,,,,,
"245","SHCBP1",,,,,,,,,,,,,,
"246","SIVA1",,,,,,,,,,,,,,
"247","SKA2",,,,,,,,,,,,,,
"248","SKA3",,,,,,,,,,,,,,
"249","SLBP",,,,,,,,,,,,,,
"250","SLC25A5",,,,,,,,,,,,,,
"251","SLC43A3",,,,,,,,,,,,,,
"252","SMC1A",,,,,,,,,,,,,,
"253","SMC2",,,,,,,,,,,,,,
"254","SMC4",,,,,,,,,,,,,,
"255","SNRNP25",,,,,,,,,,,,,,
"256","SNRPB",,,,,,,,,,,,,,
"257","SNRPD1",,,,,,,,,,,,,,
"258","SPAG5",,,,,,,,,,,,,,
"259","SPC24",,,,,,,,,,,,,,
"260","SPC25",,,,,,,,,,,,,,
"261","SPDL1",,,,,,,,,,,,,,
"262","STMN1",,,,,,,,,,,,,,
"263","STRA13",,,,,,,,,,,,,,
"264","SUN2",,,,,,,,,,,,,,
"265","SYT8",,,,,,,,,,,,,,
"266","TACC3",,,,,,,,,,,,,,
"267","TCF19",,,,,,,,,,,,,,
"268","TEX30",,,,,,,,,,,,,,
"269","TFDP1",,,,,,,,,,,,,,
"270","TK1",,,,,,,,,,,,,,
"271","TMEM106C",,,,,,,,,,,,,,
"272","TMEM97",,,,,,,,,,,,,,
"273","TMPO",,,,,,,,,,,,,,
"274","TNFAIP8L1",,,,,,,,,,,,,,
"275","TOP2A",,,,,,,,,,,,,,
"276","TPX2",,,,,,,,,,,,,,
"277","TRIP13",,,,,,,,,,,,,,
"278","TROAP",,,,,,,,,,,,,,
"279","TTK",,,,,,,,,,,,,,
"280","TUBA1B",,,,,,,,,,,,,,
"281","TUBA1C",,,,,,,,,,,,,,
"282","TUBB",,,,,,,,,,,,,,
"283","TUBB4B",,,,,,,,,,,,,,
"284","TUBB6",,,,,,,,,,,,,,
"285","TUBG1",,,,,,,,,,,,,,
"286","TYMS",,,,,,,,,,,,,,
"287","UBE2C",,,,,,,,,,,,,,
"288","UBE2S",,,,,,,,,,,,,,
"289","UBE2T",,,,,,,,,,,,,,
"290","UHRF1",,,,,,,,,,,,,,
"291","UNG",,,,,,,,,,,,,,
"292","USP1",,,,,,,,,,,,,,
"293","VRK1",,,,,,,,,,,,,,
"294","WDR34",,,,,,,,,,,,,,
"295","WDR76",,,,,,,,,,,,,,
"296","ZWILCH",,,,,,,,,,,,,,
"297","ZWINT",,,,,,,,,,,,,,
